0	0	3332
0	0	933
1	0	3344
1	0	902
2	0	3364
2	0	903
3	0	3263
3	0	885
4	0	3311
4	0	954
5	0	3239
5	0	846
6	0	3268
6	0	919
7	0	3236
7	0	869
8	0	3450
8	0	916
9	0	3174
9	0	836

0	1	3181
0	1	790
1	1	3360
1	1	941
2	1	3287
2	1	835
3	1	3235
3	1	833
4	1	3325
4	1	865
5	1	3282
5	1	786
6	1	3299
6	1	870
7	1	3248
7	1	783
8	1	3270
8	1	853
9	1	3290
9	1	1088

0	2	3280
0	2	844
1	2	3409
1	2	914
2	2	3341
2	2	895
3	2	3335
3	2	923
4	2	3222
4	2	907
5	2	3188
5	2	812
6	2	3252
6	2	912
7	2	3363
7	2	877
8	2	3354
8	2	875
9	2	3198
9	2	852

0	3	3241
0	3	897
1	3	3190
1	3	826
2	3	3375
2	3	830
3	3	3217
3	3	813
4	3	3294
4	3	1004
5	3	3214
5	3	966
6	3	3221
6	3	941
7	3	3257
7	3	877
8	3	3267
8	3	908
9	3	3261
9	3	882

0	4	3339
0	4	1020
1	4	3392
1	4	957
2	4	3362
2	4	1013
3	4	3313
3	4	981
4	4	3304
4	4	929
5	4	3280
5	4	881
6	4	3215
6	4	907
7	4	3239
7	4	886
8	4	3467
8	4	971
9	4	3206
9	4	785

0	5	3216
0	5	1249
1	5	3286
1	5	1524
2	5	3288
2	5	1325
3	5	3275
3	5	1148
4	5	3281
4	5	1258
5	5	3218
5	5	1261
6	5	3209
6	5	1199
7	5	3261
7	5	1207
8	5	3477
8	5	1292
9	5	3329
9	5	1364

0	6	3289
0	6	1424
1	6	3314
1	6	1653
2	6	3242
2	6	1485
3	6	3286
3	6	1343
4	6	3271
4	6	1224
5	6	3334
5	6	1275
6	6	3291
6	6	1596
7	6	3149
7	6	1371
8	6	3382
8	6	1356
9	6	3267
9	6	2291

0	7	3297
0	7	5126
1	7	3383
1	7	4851
2	7	3436
2	7	5310
3	7	3265
3	7	5010
4	7	3158
4	7	4807
5	7	3327
5	7	5090
6	7	3280
6	7	4829
7	7	3309
7	7	4967
8	7	3382
8	7	4943
9	7	3279
9	7	5038

0	8	3220
0	8	1541
1	8	3410
1	8	1580
2	8	3390
2	8	1504
3	8	3281
3	8	1155
4	8	3258
4	8	1397
5	8	3275
5	8	1641
6	8	3228
6	8	1245
7	8	3374
7	8	1469
8	8	3462
8	8	1558
9	8	3287
9	8	1453

0	9	3139
0	9	1088
1	9	3465
1	9	1807
2	9	3375
2	9	1313
3	9	3182
3	9	1379
4	9	3218
4	9	1252
5	9	3251
5	9	1576
6	9	3278
6	9	1626
7	9	3230
7	9	1336
8	9	3276
8	9	1286
9	9	3145
9	9	1405

0	10	3193
0	10	1721
1	10	3321
1	10	1579
2	10	3386
2	10	1526
3	10	3263
3	10	1374
4	10	3309
4	10	1640
5	10	3223
5	10	1629
6	10	3220
6	10	1776
7	10	3296
7	10	1669
8	10	3367
8	10	1627
9	10	3289
9	10	1626

0	11	3243
0	11	1531
1	11	3362
1	11	1598
2	11	3385
2	11	1719
3	11	3315
3	11	1606
4	11	3250
4	11	1706
5	11	3334
5	11	1825
6	11	3238
6	11	1500
7	11	3251
7	11	1458
8	11	3449
8	11	1666
9	11	3335
9	11	1530

0	12	3291
0	12	2970
1	12	3469
1	12	2931
2	12	3313
2	12	3666
3	12	3314
3	12	2947
4	12	3326
4	12	2970
5	12	3234
5	12	2962
6	12	3251
6	12	2907
7	12	3288
7	12	2582
8	12	3330
8	12	2870
9	12	3266
9	12	3044

0	13	3200
0	13	4614
1	13	3440
1	13	5348
2	13	3438
2	13	5225
3	13	3275
3	13	4712
4	13	3267
4	13	4318
5	13	3200
5	13	4681
6	13	3269
6	13	5008
7	13	3233
7	13	4329
8	13	3305
8	13	4310
9	13	3324
9	13	4536

0	14	3208
0	14	3536
1	14	3268
1	14	3122
2	14	3477
2	14	3801
3	14	3351
3	14	4364
4	14	3192
4	14	4064
5	14	3293
5	14	4040
6	14	3276
6	14	3442
7	14	3314
7	14	3520
8	14	3444
8	14	3641
9	14	3309
9	14	3476

0	15	3190
0	15	2925
1	15	3383
1	15	2672
2	15	3421
2	15	2945
3	15	3365
3	15	3079
4	15	3158
4	15	2681
5	15	3268
5	15	2864
6	15	3299
6	15	2858
7	15	3300
7	15	2779
8	15	3433
8	15	2781
9	15	3306
9	15	2846

0	16	3306
0	16	9600
1	16	3335
1	16	9627
2	16	3391
2	16	10797
3	16	3208
3	16	9546
4	16	3302
4	16	10864
5	16	3221
5	16	10898
6	16	3237
6	16	10276
7	16	3312
7	16	9930
8	16	3285
8	16	9432
9	16	3188
9	16	10314

0	17	3251
0	17	3455
1	17	3326
1	17	2962
2	17	3433
2	17	3644
3	17	3273
3	17	3527
4	17	3231
4	17	3634
5	17	3324
5	17	3468
6	17	3171
6	17	3215
7	17	3338
7	17	3392
8	17	3382
8	17	3015
9	17	3263
9	17	3450

0	18	3306
0	18	11957
1	18	3284
1	18	12026
2	18	3412
2	18	11046
3	18	3259
3	18	10332
4	18	3323
4	18	11120
5	18	3225
5	18	9912
6	18	3196
6	18	11812
7	18	3342
7	18	13744
8	18	3368
8	18	10688
9	18	3221
9	18	11131

0	19	3289
0	19	2876
1	19	3337
1	19	3817
2	19	3420
2	19	3231
3	19	3275
3	19	3465
4	19	3236
4	19	3409
5	19	3354
5	19	3159
6	19	3153
6	19	2951
7	19	3287
7	19	2759
8	19	3413
8	19	2937
9	19	3263
9	19	3995

0	20	3276
0	20	2789
1	20	3305
1	20	2554
2	20	3343
2	20	2944
3	20	3413
3	20	2919
4	20	3298
4	20	3067
5	20	3206
5	20	2999
6	20	3280
6	20	2778
7	20	3269
7	20	2879
8	20	3361
8	20	3054
9	20	3345
9	20	3204

0	21	3340
0	21	3404
1	21	3407
1	21	2974
2	21	3414
2	21	3281
3	21	3344
3	21	3094
4	21	3129
4	21	3464
5	21	3207
5	21	3454
6	21	3210
6	21	2974
7	21	3337
7	21	3220
8	21	3374
8	21	3689
9	21	3357
9	21	3746

0	22	3270
0	22	2553
1	22	3290
1	22	1994
2	22	3491
2	22	2934
3	22	3279
3	22	2244
4	22	3190
4	22	3108
5	22	3352
5	22	2606
6	22	3251
6	22	2245
7	22	3282
7	22	2406
8	22	3413
8	22	2617
9	22	3270
9	22	2177

0	23	3315
0	23	3404
1	23	3353
1	23	3507
2	23	3392
2	23	3976
3	23	3301
3	23	3528
4	23	3275
4	23	3586
5	23	3283
5	23	3672
6	23	3227
6	23	3516
7	23	3245
7	23	3559
8	23	3387
8	23	3366
9	23	3280
9	23	3568

0	24	3280
0	24	3783
1	24	3281
1	24	3805
2	24	3299
2	24	3779
3	24	3377
3	24	3686
4	24	3306
4	24	3693
5	24	3311
5	24	3387
6	24	3306
6	24	3735
7	24	3344
7	24	3528
8	24	3334
8	24	3574
9	24	3201
9	24	3670

0	25	3213
0	25	3753
1	25	3471
1	25	5163
2	25	3443
2	25	4512
3	25	3256
3	25	3480
4	25	3288
4	25	4236
5	25	3250
5	25	4025
6	25	3233
6	25	3969
7	25	3382
7	25	4254
8	25	3311
8	25	3987
9	25	3182
9	25	4524

0	26	3290
0	26	2921
1	26	3288
1	26	2465
2	26	3430
2	26	2974
3	26	3287
3	26	2428
4	26	3214
4	26	2802
5	26	3438
5	26	2954
6	26	3176
6	26	2482
7	26	3296
7	26	2567
8	26	3336
8	26	3605
9	26	3305
9	26	2464

0	27	3259
0	27	4227
